graph,emb,dim,param,exec_time,landmarks,model,iter,accuracy,precision,recall,fscore
sbm10k,n2v,6,9,6.36,-1,xgboost,3,0.8664,0.8638241756488562,0.8637085222251593,0.8628961027521327
sbm10k,n2v,6,9,6.4,-1,xgboost,4,0.8784,0.8781224954797587,0.8761490462190031,0.8761474710923066
sbm10k,n2v,6,9,6.49,-1,xgboost,5,0.8788,0.8755141753859321,0.8755681987365347,0.8749645237916214
sbm10k,n2v,6,9,6.42,-1,xgboost,6,0.8656,0.8637516207999425,0.8632350387703749,0.8622487508399345
sbm10k,n2v,6,9,6.37,-1,xgboost,7,0.87,0.8658738622540322,0.8665409040654565,0.865840995144057
sbm10k,n2v,6,9,6.38,-1,xgboost,8,0.8748,0.8715514655380204,0.870718231130099,0.8703748402110995
sbm10k,n2v,6,9,6.53,-1,xgboost,9,0.8704,0.865218523527751,0.8656994952032491,0.8649794687821871
sbm10k,n2v,8,9,4.35,-1,xgboost,0,0.9632,0.9630563049019768,0.9624173758176948,0.9625379892872404
sbm10k,n2v,8,9,4.41,-1,xgboost,1,0.9548,0.9545013292748384,0.9532665069646472,0.9536166763823278
sbm10k,n2v,8,9,5.39,-1,xgboost,2,0.964,0.9629795288199318,0.9620382277409903,0.96223129531871
sbm10k,n2v,8,9,4.09,-1,xgboost,3,0.9612,0.9602428679235366,0.9614486899960174,0.9605790686749176
sbm10k,n2v,8,9,4.23,-1,xgboost,4,0.9588,0.958860544341572,0.9587988569144746,0.9584908938244404
sbm10k,n2v,8,9,4.28,-1,xgboost,5,0.96,0.9587836476617628,0.9589532464706382,0.9585920646787556
sbm10k,n2v,8,9,4.33,-1,xgboost,6,0.9664,0.9652397287121136,0.9657275763143915,0.9653159826973332
sbm10k,n2v,8,9,4.25,-1,xgboost,7,0.956,0.9551607582729174,0.9544475928495872,0.9544804680769172
sbm10k,n2v,8,9,4.3,-1,xgboost,8,0.9616,0.9608450770268534,0.9598342172976118,0.9600796280189594
