graph,emb,dim,param,exec_time,landmarks,best_alpha,best_div,best_div_ext,best_div_int,best_alpha_auc,best_auc,best_auc_err
email,n2v,26,9,20.1,-1,10.0,0.0641333148289274,0.0,0.0,10.0,0.0314999999999999,0.0076550170607255
email,n2v,28,1,19.11,-1,10.0,0.05765293572352,0.0,0.0,10.0,0.0264999999999999,0.0070393407503828
email,n2v,28,0.11,18.78,-1,10.0,0.0255814309816489,0.0,0.0,8.5,0.021,0.006284085231758
email,n2v,28,9,19.81,-1,10.0,0.0675626224711723,0.0,0.0,10.0,0.0324999999999999,0.0077715606540771
email,n2v,30,1,19.26,-1,10.0,0.0571058849058043,0.0,0.0,10.0,0.029,0.007354441324805
email,n2v,30,0.11,18.59,-1,10.0,0.0291173704606558,0.0,0.0,9.25,0.0234999999999999,0.0066391293254462
email,n2v,30,9,19.53,-1,10.0,0.0672453500387422,0.0,0.0,10.0,0.0334999999999999,0.0078861386115132
email,n2v,32,1,19.51,-1,10.0,0.053370254138009,0.0,0.0,10.0,0.027,0.0071036143476402
email,n2v,32,0.11,18.78,-1,10.0,0.0277215653679276,0.0,0.0,8.25,0.024,0.0067076686859146
email,n2v,32,9,18.82,-1,10.0,0.0702894184873972,0.0,0.0,10.0,0.0354999999999999,0.0081097294529472
