graph,emb,dim,param,exec_time,landmarks,best_alpha,best_div,best_div_ext,best_div_int,best_alpha_auc,best_auc,best_auc_err
sbm10k,n2v,30,9,59.62,100,1.75,0.0009834451689332,0.0,0.0,2.75,0.1049999999999999,0.0134352960518181
sbm10k,n2v,32,9,54.9,100,1.5,0.0016519585994669,0.0,0.0,2.75,0.1055,0.0134634845341018
sbm10k,n2v,2,9,56.34,1000,2.0,0.1341233805397527,0.0,0.0,4.25,0.3135,0.0203320007426716
sbm10k,n2v,4,9,58.71,1000,4.25,0.110753805904737,0.0,0.0,3.25,0.257,0.0191514668054433
sbm10k,n2v,6,9,59.22,1000,5.75,0.0727925178436876,0.0,0.0,4.75,0.2119999999999999,0.0179131561931447
sbm10k,n2v,8,9,61.74,1000,5.5,0.0431577114739955,0.0,0.0,8.0,0.2069999999999999,0.0177567238194437
sbm10k,n2v,10,9,60.53,1000,5.0,0.0289652080532323,0.0,0.0,5.25,0.1745,0.0166340241613387
sbm10k,n2v,12,9,61.27,1000,4.75,0.0197691243194185,0.0,0.0,4.5,0.1634999999999999,0.0162081304967599
sbm10k,n2v,14,9,60.14,1000,4.5,0.0138176463461669,0.0,0.0,4.25,0.1414999999999999,0.0152752892673101
sbm10k,n2v,16,9,69.34,1000,4.5,0.0090378856837515,0.0,0.0,5.25,0.1414999999999999,0.0152752892673101
sbm10k,n2v,18,9,64.52,1000,4.25,0.0084341978956278,0.0,0.0,5.5,0.1344999999999999,0.014953255424823
sbm10k,n2v,20,9,65.84,1000,4.25,0.0075919483090692,0.0,0.0,5.0,0.1155,0.0140081564739975
sbm10k,n2v,22,9,60.98,1000,4.0,0.0059500525327486,0.0,0.0,4.75,0.1089999999999999,0.0136581907733052
sbm10k,n2v,24,9,65.62,1000,3.75,0.0048254044223456,0.0,0.0,5.75,0.1005,0.013177247049365
sbm10k,n2v,26,9,63.66,1000,3.5,0.0034378307446079,0.0,0.0,4.75,0.0925,0.0126979980705621
sbm10k,n2v,28,9,63.33,1000,3.5,0.0018168728451703,0.0,0.0,6.25,0.0859999999999999,0.0122874962136311
sbm10k,n2v,30,9,63.14,1000,3.0,0.0007503183616297,0.0,0.0,4.25,0.0939999999999999,0.0127899574354256
sbm10k,n2v,32,9,61.68,1000,3.0,0.0004707259450802,0.0,0.0,5.0,0.0805,0.0119238054244439
sbm10k,n2v,2,9,60.58,1100,2.0,0.1341088417182605,0.0,0.0,4.25,0.312,0.0203054486480845
sbm10k,n2v,4,9,64.42,1100,4.5,0.1106382649969548,0.0,0.0,7.25,0.2495,0.0189649497705635
sbm10k,n2v,6,9,62.55,1100,6.0,0.0727083936247603,0.0,0.0,4.75,0.2149999999999999,0.0180050831711491
sbm10k,n2v,8,9,66.76,1100,5.75,0.0428695193461469,0.0,0.0,6.25,0.2079999999999999,0.0177883363134386
sbm10k,n2v,10,9,62.2,1100,5.5,0.0280637920975783,0.0,0.0,5.75,0.173,0.0165774176758625
sbm10k,n2v,12,9,57.79,1100,5.0,0.0197704500759583,0.0,0.0,4.5,0.164,0.0162280424943983
sbm10k,n2v,14,9,56.97,1100,4.75,0.0136133567258357,0.0,0.0,4.25,0.146,0.0154755622579601
sbm10k,n2v,16,9,63.13,1100,4.5,0.0089446458433152,0.0,0.0,5.25,0.1414999999999999,0.0152752892673101
sbm10k,n2v,18,9,66.19,1100,4.5,0.0083115038699201,0.0,0.0,5.75,0.1334999999999999,0.0149061672538583
sbm10k,n2v,20,9,61.45,1100,4.25,0.0075957419922105,0.0,0.0,5.5,0.1169999999999999,0.0140868651161285
sbm10k,n2v,22,9,63.15,1100,4.0,0.0059613421254856,0.0,0.0,5.75,0.1089999999999999,0.0136581907733052
