graph,emb,dim,param,exec_time,landmarks,best_alpha,best_div,best_div_ext,best_div_int,best_alpha_auc,best_auc,best_auc_err
nlfr10k,n2v,12,9,49.26,375,6.5,0.0396763351201029,0.0,0.0,3.75,0.05,0.0095518584579127
nlfr10k,n2v,14,9,47.12,375,6.25,0.0293032520762662,0.0,0.0,4.5,0.0434999999999999,0.0089398079509573
nlfr10k,n2v,16,9,48.36,375,6.0,0.0225307707629539,0.0,0.0,4.75,0.0414999999999999,0.0087410012126758
nlfr10k,n2v,18,9,49.56,375,6.0,0.0174599139523249,0.0,0.0,4.25,0.0404999999999999,0.0086395490507317
nlfr10k,n2v,20,9,48.29,375,6.0,0.0136415642145278,0.0,0.0,6.0,0.033,0.0078290899087952
nlfr10k,n2v,22,9,53.42,375,6.25,0.0104895712622703,0.0,0.0,7.75,0.029,0.007354441324805
nlfr10k,n2v,24,9,50.33,375,6.0,0.0087981702494288,0.0,0.0,5.5,0.0304999999999999,0.0075364166418796
nlfr10k,n2v,26,9,52.54,375,6.0,0.0072599731393658,0.0,0.0,6.5,0.0314999999999999,0.0076550170607255
nlfr10k,n2v,28,9,49.89,375,6.0,0.0060120781672309,0.0,0.0,7.5,0.024,0.0067076686859146
nlfr10k,n2v,30,9,50.53,375,6.0,0.005247941494074,0.0,0.0,6.25,0.0244999999999999,0.0067754438821379
nlfr10k,n2v,32,9,50.61,375,6.0,0.0048233985069757,0.0,0.0,9.0,0.022,0.0064286804866939
nlfr10k,n2v,2,1,47.91,375,5.75,0.3483514460502667,0.0,0.0,9.75,0.13,0.0147391478722482
nlfr10k,n2v,4,1,47.56,375,10.0,0.1935351961420398,0.0,0.0,5.0,0.0849999999999999,0.0122225291981651
nlfr10k,n2v,6,1,48.37,375,10.0,0.0762960711679548,0.0,0.0,4.5,0.0689999999999999,0.0111081173562399
nlfr10k,n2v,8,1,47.12,375,8.0,0.0472926771446242,0.0,0.0,3.25,0.0625,0.0106088111963593
