graph,emb,dim,param,exec_time,landmarks,model,clusters,iter,ami,apr
sbm10k,n2v,8,9,1.76,-1,kmeans,30,18,0.9560259763766844,0.951967875891374
sbm10k,n2v,8,9,1.25,-1,kmeans,30,19,0.956431532162674,0.9523800304784776
sbm10k,n2v,10,9,1.42,-1,kmeans,30,0,0.9800039476645734,0.978818186402607
sbm10k,n2v,10,9,1.45,-1,kmeans,30,1,0.98011077805256,0.9790030475199434
sbm10k,n2v,10,9,1.52,-1,kmeans,30,2,0.9802049862195464,0.9790123124699408
sbm10k,n2v,10,9,1.39,-1,kmeans,30,3,0.9800039476645732,0.978818186402607
sbm10k,n2v,10,9,1.26,-1,kmeans,30,4,0.9800039476645732,0.978818186402607
sbm10k,n2v,10,9,1.58,-1,kmeans,30,5,0.98011077805256,0.9790030475199434
sbm10k,n2v,10,9,1.58,-1,kmeans,30,6,0.970264084308905,0.9424850485701238
sbm10k,n2v,10,9,1.25,-1,kmeans,30,7,0.9800039476645732,0.978818186402607
sbm10k,n2v,10,9,1.31,-1,kmeans,30,8,0.9800039476645734,0.978818186402607
sbm10k,n2v,10,9,1.4,-1,kmeans,30,9,0.969943164949278,0.942105752872372
sbm10k,n2v,10,9,1.5,-1,kmeans,30,10,0.9798015226715322,0.9786149562395822
sbm10k,n2v,10,9,1.37,-1,kmeans,30,11,0.9798015226715322,0.9786149562395822
sbm10k,n2v,10,9,1.47,-1,kmeans,30,12,0.9800039476645734,0.978818186402607
sbm10k,n2v,10,9,1.17,-1,kmeans,30,13,0.9800039476645732,0.978818186402607
sbm10k,n2v,10,9,1.1,-1,kmeans,30,14,0.98011077805256,0.9790030475199434
sbm10k,n2v,10,9,1.26,-1,kmeans,30,15,0.9800039476645732,0.978818186402607
sbm10k,n2v,10,9,1.68,-1,kmeans,30,16,0.98011077805256,0.9790030475199434
sbm10k,n2v,10,9,1.51,-1,kmeans,30,17,0.9698830369306104,0.9415913053609776
sbm10k,n2v,10,9,1.63,-1,kmeans,30,18,0.9800039476645732,0.978818186402607
sbm10k,n2v,10,9,1.55,-1,kmeans,30,19,0.9695935864632697,0.9427306837008425
sbm10k,n2v,12,9,1.4,-1,kmeans,30,0,0.9869427076257464,0.9868256949593652
sbm10k,n2v,12,9,1.24,-1,kmeans,30,1,0.9759413154391396,0.945906159801416
sbm10k,n2v,12,9,1.35,-1,kmeans,30,2,0.9873459816904664,0.987221951158928
sbm10k,n2v,12,9,1.31,-1,kmeans,30,3,0.9873447760179438,0.9872139854992248
sbm10k,n2v,12,9,1.4,-1,kmeans,30,4,0.9871436958477864,0.9870195307770832
sbm10k,n2v,12,9,1.35,-1,kmeans,30,5,0.9873447760179436,0.9872139854992248
sbm10k,n2v,12,9,1.2,-1,kmeans,30,6,0.9873447760179436,0.9872139854992248
sbm10k,n2v,12,9,1.32,-1,kmeans,30,7,0.9871436958477862,0.9870195307770832
sbm10k,n2v,12,9,1.16,-1,kmeans,30,8,0.9873447760179436,0.9872139854992248
sbm10k,n2v,12,9,1.32,-1,kmeans,30,9,0.9873447760179436,0.9872139854992248
sbm10k,n2v,12,9,1.19,-1,kmeans,30,10,0.9869427076257464,0.9868256949593652
sbm10k,n2v,12,9,1.12,-1,kmeans,30,11,0.9873447760179436,0.9872139854992248
sbm10k,n2v,12,9,1.45,-1,kmeans,30,12,0.9869439137777004,0.9868336577483012
sbm10k,n2v,12,9,1.51,-1,kmeans,30,13,0.9873447760179438,0.9872139854992248
sbm10k,n2v,12,9,1.2,-1,kmeans,30,14,0.9871436958477862,0.9870195307770832
sbm10k,n2v,12,9,1.42,-1,kmeans,30,15,0.9873447760179436,0.9872139854992248
sbm10k,n2v,12,9,1.34,-1,kmeans,30,16,0.9873447760179436,0.9872139854992248
sbm10k,n2v,12,9,1.26,-1,kmeans,30,17,0.9873447760179436,0.9872139854992248
sbm10k,n2v,12,9,1.45,-1,kmeans,30,18,0.987143695847786,0.9870195307770832
sbm10k,n2v,12,9,1.26,-1,kmeans,30,19,0.9869439137777004,0.9868336577483012
sbm10k,n2v,14,9,1.45,-1,kmeans,30,0,0.9821239511594,0.956979432310548
sbm10k,n2v,14,9,1.25,-1,kmeans,30,1,0.9953404951260438,0.9952884182764292
sbm10k,n2v,14,9,1.17,-1,kmeans,30,2,0.9953404951260436,0.9952884182764292
sbm10k,n2v,14,9,1.39,-1,kmeans,30,3,0.9953404951260436,0.9952884182764292
sbm10k,n2v,14,9,1.31,-1,kmeans,30,4,0.9951371712413164,0.9950787941323505
sbm10k,n2v,14,9,1.44,-1,kmeans,30,5,0.995139270584124,0.9950930726979668
sbm10k,n2v,14,9,1.27,-1,kmeans,30,6,0.9953404951260436,0.9952884182764292
sbm10k,n2v,14,9,1.14,-1,kmeans,30,7,0.9953404951260436,0.9952884182764292
sbm10k,n2v,14,9,1.29,-1,kmeans,30,8,0.9951371712413164,0.9950787941323505
sbm10k,n2v,14,9,1.65,-1,kmeans,30,9,0.983403706312182,0.9570631999265996
sbm10k,n2v,14,9,1.5,-1,kmeans,30,10,0.9953404951260436,0.9952884182764292
sbm10k,n2v,14,9,1.09,-1,kmeans,30,11,0.9953404951260438,0.9952884182764292
sbm10k,n2v,14,9,1.12,-1,kmeans,30,12,0.9953404951260436,0.9952884182764292
sbm10k,n2v,14,9,1.43,-1,kmeans,30,13,0.995139270584124,0.9950930726979668
sbm10k,n2v,14,9,1.34,-1,kmeans,30,14,0.9953404951260436,0.9952884182764292
sbm10k,n2v,14,9,1.4,-1,kmeans,30,15,0.9949359466032606,0.9948834491605444
sbm10k,n2v,14,9,1.39,-1,kmeans,30,16,0.9953404951260438,0.9952884182764292
sbm10k,n2v,14,9,1.23,-1,kmeans,30,17,0.995139270584124,0.9950930726979668
sbm10k,n2v,14,9,1.49,-1,kmeans,30,18,0.9951392705841242,0.9950930726979668
sbm10k,n2v,14,9,1.11,-1,kmeans,30,19,0.9953404951260436,0.9952884182764292
